date,states,cases,number
2020-02-15,california,deaths,0
2020-02-15,illinois,confirmed,2
2020-02-15,illinois,deaths,0
2020-02-15,massachusetts,confirmed,1
2020-02-15,massachusetts,deaths,0
2020-02-15,texas,confirmed,2
2020-02-15,texas,deaths,0
2020-02-15,washington,confirmed,1
2020-02-15,washington,deaths,0
2020-02-15,wisconsin,confirmed,1
2020-02-15,wisconsin,deaths,0
2020-02-16,arizona,confirmed,1
2020-02-16,arizona,deaths,0
2020-02-16,california,confirmed,7
2020-02-16,california,deaths,0
2020-02-16,illinois,confirmed,2
2020-02-16,illinois,deaths,0
2020-02-16,massachusetts,confirmed,1
2020-02-16,massachusetts,deaths,0
2020-02-16,texas,confirmed,2
2020-02-16,texas,deaths,0
2020-02-16,washington,confirmed,1
2020-02-16,washington,deaths,0
2020-02-16,wisconsin,confirmed,1
2020-02-16,wisconsin,deaths,0
2020-02-17,arizona,confirmed,1
2020-02-17,arizona,deaths,0
2020-02-17,california,confirmed,7
2020-02-17,california,deaths,0
2020-02-17,illinois,confirmed,2
2020-02-17,illinois,deaths,0
2020-02-17,massachusetts,confirmed,1
2020-02-17,massachusetts,deaths,0
2020-02-17,nebraska,confirmed,10
2020-02-17,nebraska,deaths,0
2020-02-17,texas,confirmed,2
2020-02-17,texas,deaths,0
2020-02-17,washington,confirmed,1
2020-02-17,washington,deaths,0
2020-02-17,wisconsin,confirmed,1
2020-02-17,wisconsin,deaths,0
2020-02-18,arizona,confirmed,1
2020-02-18,arizona,deaths,0
2020-02-18,california,confirmed,7
2020-02-18,california,deaths,0
2020-02-18,illinois,confirmed,2
2020-02-18,illinois,deaths,0
2020-02-18,massachusetts,confirmed,1
2020-02-18,massachusetts,deaths,0
2020-02-18,nebraska,confirmed,10
2020-02-18,nebraska,deaths,0
2020-02-18,texas,confirmed,2
2020-02-18,texas,deaths,0
2020-02-18,washington,confirmed,1
2020-02-18,washington,deaths,0
2020-02-18,wisconsin,confirmed,1
2020-02-18,wisconsin,deaths,0
2020-02-19,arizona,confirmed,1
2020-02-19,arizona,deaths,0
2020-02-19,california,confirmed,7
2020-02-19,california,deaths,0
2020-02-19,illinois,confirmed,2
2020-02-19,illinois,deaths,0
2020-02-19,massachusetts,confirmed,1
2020-02-19,massachusetts,deaths,0
2020-02-19,nebraska,confirmed,10
2020-02-19,nebraska,deaths,0
2020-02-19,texas,confirmed,2
2020-02-19,texas,deaths,0
2020-02-19,washington,confirmed,1
2020-02-19,washington,deaths,0
2020-02-19,wisconsin,confirmed,1
2020-02-19,wisconsin,deaths,0
2020-02-20,arizona,confirmed,1
2020-02-20,arizona,deaths,0
2020-02-20,california,confirmed,8
2020-02-20,california,deaths,0
2020-02-20,illinois,confirmed,2
2020-02-20,illinois,deaths,0
2020-02-20,massachusetts,confirmed,1
2020-02-20,massachusetts,deaths,0
2020-02-20,nebraska,confirmed,11
2020-02-20,nebraska,deaths,0
2020-02-20,texas,confirmed,2
2020-02-20,texas,deaths,0
2020-02-20,washington,confirmed,1
2020-02-20,washington,deaths,0
2020-02-20,wisconsin,confirmed,1
2020-02-20,wisconsin,deaths,0
2020-02-21,arizona,confirmed,1
2020-02-21,arizona,deaths,0
2020-02-21,california,confirmed,9
2020-02-21,california,deaths,0
2020-02-21,illinois,confirmed,2
2020-02-21,illinois,deaths,0
2020-02-21,massachusetts,confirmed,1
2020-02-21,massachusetts,deaths,0
2020-02-21,nebraska,confirmed,11
2020-02-21,nebraska,deaths,0
2020-02-21,texas,confirmed,4
2020-02-21,texas,deaths,0
2020-02-21,washington,confirmed,1
2020-02-21,washington,deaths,0
2020-02-21,wisconsin,confirmed,1
2020-02-21,wisconsin,deaths,0
2020-02-22,arizona,confirmed,1
2020-02-22,arizona,deaths,0
2020-02-22,california,confirmed,9
2020-02-22,california,deaths,0
2020-02-22,illinois,confirmed,2
2020-02-22,illinois,deaths,0
2020-02-22,massachusetts,confirmed,1
